13C,1H
136.20 ,
129.80 ,
147.10 ,
142.70 ,
135.40 ,
118.00 ,6.62 
69.90 ,4.96 
174.70 ,
24.60 ,3.44 
24.60 ,3.33 
123.50 ,5.08 
125.00 ,
25.60 ,1.62 
17.80 ,1.70 
27.80 ,3.57 
27.80 ,3.32 
122.40 ,5.44 
132.10 ,
13.70 ,1.63 
66.40 ,3.78 
106.30 ,4.37 
73.90 ,3.32 
76.20 ,3.25 
69.60 ,3.18 
77.40 ,3.18 
60.80 ,3.68 
60.80 ,3.50 
