13C,1H,Intensity
126.65,5.62,7980552
126.61,5.62,7897886
124.56,5.47,1362307
124.32,4.99,-393458
124.26,6.66,-519685
107.66,5.17,-466765
106.6,5.17,5727358
106.58,5.17,5727358
105.31,6.05,-1325102
104.26,6.05,12055885
104.2,6.05,12055885
102.56,5.32,570741
81.26,4.39,1483557
81.26,4.39,1483557
80.85,4.27,8763803
80.84,4.27,8763803
78.45,3.49,377144
78.05,5.02,-374804
77.49,4.46,709423
76.97,5.01,5700759
76.56,6.21,5073888
76.56,6.22,5279700
74.64,4.09,3480720
74.64,4.09,3430742
74.58,4.33,10699528
73.79,4.75,-636945
73.04,4.58,11543037
73.02,4.58,11543037
72.71,4.75,13873249
72.71,4.75,13873249
72.62,6.19,545571
72.58,5.56,5494494
72.56,5.56,5494494
72.55,5.6,2803023
72.31,4.66,7391933
72.31,4.66,7391933
71.99,4.67,6953215
71.86,6.14,525200
71.59,4.67,6181165
71.46,5.46,591732
71.3,5.91,429352
70.86,4.43,-373426
70.55,4.61,9715341
70.55,4.61,9715341
70.03,4.31,583528
69.8,4.43,10886621
69.79,4.43,10886621
68.58,3.79,-4523407
68.51,4.29,-4087685
68.43,4.29,-3577852
65.61,3.74,339722
65.44,4.33,356035
64.39,4.35,-3791452
64.39,4.35,-3791452
64.32,3.74,-4374986
64.32,3.74,-4374986
63.42,3.94,-3972024
63.38,3.94,-3972024
63.37,3.72,-3548835
63.37,3.72,-3548835
62.32,4.37,-898274
56.09,0.79,455489
54.14,2.18,448497
53.25,3.13,612955
50.08,3.62,1279321
48.71,1.47,663982
48.57,1.69,-371092
48.56,1.34,-537097
48.53,3.26,563546
47.72,3.08,-3583395
47.72,3.08,-3583395
47.72,1.47,-3775148
47.71,1.47,-3740979
47.57,1.87,6141169
47.57,1.87,6141169
47.25,1.81,4828221
47.24,1.81,4828221
44.48,2.2,-1377100
43.98,3.73,-588036
43.95,2.04,-3932103
43.9,1.95,-4551381
43.88,2.04,-3932103
43.85,1.95,-4277901
42.4,2.44,3967363
42.4,2.44,3612824
41.59,3.25,4133630
40.44,3.16,617036
39.88,2.16,416202
39.37,1,-2528513
39.37,1,-2528513
39.29,1.5,-3289063
39.28,1.5,-3289063
37.76,1.95,-432110
37.75,1.39,-546020
37.14,2.61,-479386
36.05,2.61,6581697
35.88,2.15,-3017310
35.82,1.42,-3615968
33.79,1.04,1494605
33.19,0.91,3822294
32.79,1.75,559329
32.43,1.8,-433967
32.16,2.54,-535851
31.73,1.04,398451
31.38,2.74,-622087
31.19,2.71,3252063
31,1.04,-351685
30.94,1.35,1072928
30.7,1.28,17543232
30.62,1.28,17543232
30.06,1.24,-1336203
30.05,1.31,-1743835
29.77,1.25,-1369276
29.75,1.05,1628069
29.73,1.01,1782325
29.59,1.28,-1471266
29.08,2.22,-391093
28.15,1.86,506988
27.79,1.36,1564122
27.73,1.36,1600753
27.64,1.48,-2997863
27.63,1.81,-2127565
27.61,1.81,-2127565
27.58,1.48,-2997863
27.44,1.43,910691
27.15,2.59,675656
26.53,1.49,488984
26.5,2,-2124403
26.45,2.3,-1690184
26.45,2.3,-1690184
26.43,2,-2258490
26.23,2.17,975790
25.53,1.26,1130363
25.49,2.07,3600636
25.4,1.81,935577
24.5,1.51,2060907
24.37,1.96,-4317036
24.29,1.96,-4104665
24.29,1.95,-4474425
24.23,1.87,-3898072
24.23,1.87,-3898072
24.15,0.99,2829035
24.05,0.88,-385383
23.8,0.76,-528242
23.41,2.05,387032
23.32,1.26,-565810
23.23,1.84,393215
22.94,0.87,34863200
22.94,0.87,34863200
22.71,0.75,17721656
22.71,0.75,17721656
22.63,1.91,-353767
22.32,2.51,1336532
22.19,2.54,1042494
21.95,2.06,18550850
21.84,0.87,-677275
21.61,0.75,-342833
21.58,0.91,-408538
21.5,1.91,1568749
21.43,1.35,2507134
21.41,1.84,1767978
21.28,1.95,1773338
21.19,1.73,653731
20.75,1.42,-540081
20.56,1.67,452618
20.32,1.3,1148305
20.3,1.73,-483379
20.14,1.68,-755806
19.99,1.28,1292637
19.69,1.41,18371954
19.69,1.41,18371954
19.62,1.15,1567244
19.26,1.31,-351287
19.07,1.68,29154976
18.91,1.81,-3084137
18.87,1.81,-3084137
18.85,1.39,-2656473
18.75,1.4,-2291923
18.71,1.25,1530738
18.13,1.29,1737869
17.98,1.68,-337740
17.98,1.09,22005648
17.75,1.09,19656294
17.63,1.35,2600363
17.31,1.16,12399796
17.31,1.16,12399796
17.21,1.11,3343367
16.97,1.22,2553203
16.76,0.93,21407644
16.75,0.93,21407644
16.41,2.04,1638467
15.51,1.51,929205
15.38,0.94,-1349714
14.15,0.84,459439
14.1,0.96,21996832
14.01,0.96,19962040
13.46,0.85,-336683
12.38,0.93,10155742
12.37,0.84,1206418
12.37,0.93,10155742
12.23,0.84,1184983
10.82,1.32,665890
