13C,1H
71.5,3.93
33.4,1.91
33.4,2.25
122,5.28
137,
46.6,3.01
77.6,4.43
43.2,1.59
29.1,2.12
29.1,2.25
74.1,4.95
42.7,
29.2,2.07
22.7,1.04
22.2,0.9
12.7,0.92
24.1,1.91
104.1,4.44
75.4,3.2
78.2,3.34
71.7,3.31
77.4,3.22
62.8,3.7
62.8,3.8
172.3,
46.6,2.63
70.9,
46.3,2.61
172.3,
27.9,1.38
